gid,nx,ny,dist_dfs_m
나나9876,51,33,2401.291788610422
나나9877,51,33,2669.9407748547615
나나9878,51,33,3238.975953664406
나나9879,51,34,3100.0847921614504
나나9880,51,34,2621.668393376567
나나9881,51,34,2477.0475593069746
나나9882,51,34,2719.9970693564374
나나9883,51,34,3265.119217355865
나나9884,51,35,3193.855896684115
나나9885,50,35,2712.564775775476
나나9886,50,35,2522.1571590171616
나나9887,50,35,2713.7696672313928
나나9888,50,35,3219.9091413871984
나나9889,50,36,3189.6835870647883
나나9890,50,36,2659.7172281614653
나나9891,50,36,2444.1992721476954
나나9892,50,36,2621.855150490915
나나9893,50,36,3126.3619077682215
나나9894,50,37,3164.5167459559134
나나9895,50,37,2609.457414304004
나나9896,50,37,2367.3550132366872
나나9897,50,37,2529.7176760120115
나나9898,50,37,3032.2554776862635
나나9899,50,38,3142.4961875653753
나나9972,51,32,1801.04836760743
나나9973,51,32,2589.2558512845526
나나9974,51,33,2291.8435945446186
나나9975,51,33,1617.0740703627032
나나9976,51,33,1406.1685660771986
나나9977,51,33,1827.482290860245
나나9978,51,33,2588.8362270703824
나나9979,51,34,2379.789129601586
나나9980,51,34,1710.5600684012365
나나9981,51,34,1479.4036615636082
나나9982,51,34,1857.755269158664
나나9983,51,34,2591.1144487123197
나나9984,51,35,2468.843756295065
나나9985,51,35,1804.5439773226763
나나9986,51,35,1554.8531889493497
나나9987,51,35,1891.7605324882907
나나9988,51,35,2596.1408639314623
나나9989,51,36,2558.946710344347
나나9990,51,36,1899.0273291220874
나나9991,51,36,1632.2993987387804
나나9992,51,36,1929.3775829249696
나나9993,51,36,2603.957447398827
나나9994,51,37,2650.04478498656
나나9995,51,37,1994.0117729616582
나나9996,51,37,1711.5573431775306
나나9997,51,37,1970.4756094050385
나나9998,51,37,2614.5974289621317
나나9999,51,38,2742.0912803443125
나다5284,41,54,1450.8476940701082
나다5285,41,54,2342.001900461678
나다5384,41,54,2182.8627496176864
나다5385,41,54,2853.927759079764
나다5386,41,55,2571.4488431999425
나다5484,42,54,2590.0327487783734
나다5485,42,54,3199.3848817362345
나다5486,42,55,2950.290710789147
나다5574,42,52,1786.1796763341572
나다5575,42,52,2642.7711817152363
나다5582,42,54,1459.8804448444912
나다5583,42,54,1288.039166709333
나다5584,42,54,1785.1719459803292
나다5585,42,54,2591.260862679232
나다5586,42,55,2243.8617512513288
나다5673,42,52,412.7147932369279
나다5674,42,52,1401.4760730429725
나다5675,42,52,2399.5701419352804
나다5682,42,54,780.9098220730029
나다5683,42,54,370.9637879200771
나다5684,42,54,1290.5069212080712
나다5697,42,57,1058.0617470358854
나다5698,42,57,486.3575412332122
나다5699,42,57,1163.4400093207219
나다5783,42,54,784.9734829398707
나다5784,42,54,1464.2326832360607
나다5791,42,56,1963.398056787571
나다5792,42,56,1053.7805985261143
나다5795,42,56,2208.397249393459
나다5796,42,57,2009.1785995546497
나다5891,42,56,2457.1447041003
나다5892,42,56,1814.6850187624839
나다5895,42,56,2656.999544339354
나다5896,42,57,2463.9707032856386
나다5897,42,57,1785.5533103281207
나다5898,42,57,1518.3048512724629
나다5899,42,57,1849.9455718402317
나다5987,43,55,2533.1695570329393
나다5990,43,55,3323.0409292141067
나다5991,43,56,3079.7105479195825
나다5992,43,56,2624.840066285692
나다5993,43,56,2508.9746288454603
나다5994,43,56,2774.909368394174
나다5997,42,57,2687.480903330338
나다5998,42,57,2517.85674793842
나다5999,42,57,2730.6870198748193
나다6086,43,55,2241.224139701506
나다6087,43,55,1601.5523662680075
나다6088,43,55,1451.5007128543039
나다6090,43,55,2681.533701905003
나다6092,43,56,1699.4764722028458
나다6093,43,56,1514.3938041944602
나다6185,43,54,2364.7582892783034
나다6186,43,55,1780.7604054450874
나다6187,43,55,844.3885119533842
나다6188,43,55,504.85274747865725
나다6192,43,56,941.6236963688759
나다6193,43,56,540.2069049678321
나다6194,43,56,1302.6863838953961
나다6285,43,54,2426.8277360729944
나다6286,43,55,1821.8478528189855
나다6287,43,55,927.908366348233
나다6291,43,56,1865.4548445202852
나다6292,43,56,940.7922680144328
나다6293,43,56,538.7563513939112
나다6294,43,56,1302.0855274438845
나다6389,43,55,2023.0681126929562
나다6390,43,55,2763.0940856425677
