다사6216,40.7,90.1
다사6317,51.3,118.2
다사6418,43.7,95.9
다사6519,22.0,41.7
다사6721,121.1,282.5
다사6215,34.5,75.7
다사6417,121.1,282.5
다사6518,196.7,458.9
다사6619,63.4,147.8
다사6821,36.3,78.2
다사6214,33.6,72.0
다사6416,46.3,104.1
다사6517,35.2,77.3
다사6719,58.1,131.9
다사6820,26.0,48.9
다사6921,62.3,140.1
다사7426,121.0,282.3
다사7527,19.3,34.2
다사7628,34.7,73.2
다사6314,18.4,33.5
다사6415,57.8,131.7
다사6516,46.0,101.0
다사6617,59.0,137.2
다사6718,33.7,72.2
다사6819,92.9,216.7
다사6920,43.0,92.4
다사7526,37.1,79.1
다사6313,58.9,137.1
다사6414,53.8,120.8
다사6515,63.8,148.7
다사6616,41.0,91.0
다사6717,60.1,140.2
다사6919,58.7,134.1
다사7020,48.2,106.1
다사7424,52.4,110.3
다사7525,51.9,115.3
다사7626,63.6,141.8
다사7727,53.1,119.9
다사6413,60.1,140.2
다사6514,121.3,283.1
다사6716,34.1,71.7
